window_id,link_type,source_id,target_id,source_domain,target_domain,start_index,end_index_exclusive,start_time_utc,end_time_utc,duration_seconds,sample_count,mean_range_km,min_range_km,max_range_km,transmission_rate_mbps,generation_config_sha256,selection_rule,symmetrization_rule,selected_by_source,earth_clearance_min_km,boundary_source
IDL-000036,IDL,cs01,os02,communication,observation,1372,1436,2025-01-01T11:26:00.000000Z,2025-01-01T11:58:00.000000Z,1920.000000000,64,38024.593750000,35133.878906250,43821.859375000,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,both,347.563812256,sampled
IDL-000037,IDL,cs01,os02,communication,observation,1540,1631,2025-01-01T12:50:00.000000Z,2025-01-01T13:35:30.000000Z,2730.000000000,91,38065.472656250,35487.558593750,43557.324218750,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,both,424.273315430,sampled
IDL-000038,IDL,cs01,os02,communication,observation,1732,1826,2025-01-01T14:26:00.000000Z,2025-01-01T15:13:00.000000Z,2820.000000000,94,39231.203125000,37187.566406250,43362.425781250,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,both,474.639312744,sampled
IDL-000039,IDL,cs01,os02,communication,observation,1927,2022,2025-01-01T16:03:30.000000Z,2025-01-01T16:51:00.000000Z,2850.000000000,95,40959.472656250,39689.503906250,43511.285156250,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,both,436.466583252,sampled
IDL-000040,IDL,cs01,os02,communication,observation,2123,2217,2025-01-01T17:41:30.000000Z,2025-01-01T18:28:30.000000Z,2820.000000000,94,42880.992187500,41708.136718750,43978.445312500,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,both,295.739715576,sampled
IDL-000041,IDL,cs01,os02,communication,observation,2284,2288,2025-01-01T19:02:00.000000Z,2025-01-01T19:04:00.000000Z,120.000000000,4,40488.710937500,40471.656250000,40508.585937500,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,cs01,716.821899414,sampled
IDL-000042,IDL,cs01,os02,communication,observation,2319,2353,2025-01-01T19:19:30.000000Z,2025-01-01T19:36:30.000000Z,1020.000000000,34,43184.152343750,41695.761718750,44694.300781250,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,os02,29.595010757,sampled
IDL-000043,IDL,cs01,os02,communication,observation,2473,2477,2025-01-01T20:36:30.000000Z,2025-01-01T20:38:30.000000Z,120.000000000,4,37906.609375000,37893.093750000,37925.585937500,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,cs01,715.856384277,sampled
IDL-000044,IDL,cs01,os02,communication,observation,2513,2536,2025-01-01T20:56:30.000000Z,2025-01-01T21:08:00.000000Z,690.000000000,23,42959.398437500,41182.792968750,44722.230468750,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,os02,21.250215530,sampled
IDL-000045,IDL,cs01,os02,communication,observation,2667,2672,2025-01-01T22:13:30.000000Z,2025-01-01T22:16:00.000000Z,150.000000000,5,35883.445312500,35872.351562500,35905.605468750,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,cs01,715.095581055,sampled
IDL-000046,IDL,cs01,os02,communication,observation,2698,2728,2025-01-01T22:29:00.000000Z,2025-01-01T22:44:00.000000Z,900.000000000,30,41617.222656250,38686.210937500,44616.878906250,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,os02,68.785812378,sampled
IDL-000047,IDL,cs01,os02,communication,observation,2844,2881,2025-01-01T23:42:00.000000Z,2025-01-02T00:00:00.000000Z,1080.000000000,37,35593.355468750,35076.007812500,36863.617187500,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,both,708.156005859,sampled
IDL-000048,IDL,cs01,os03,communication,observation,54,143,2025-01-01T00:27:00.000000Z,2025-01-01T01:11:30.000000Z,2670.000000000,89,37859.589843750,35257.644531250,43554.335937500,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,both,440.719055176,sampled
IDL-000049,IDL,cs01,os03,communication,observation,244,339,2025-01-01T02:02:00.000000Z,2025-01-01T02:49:30.000000Z,2850.000000000,95,38928.964843750,36664.507812500,43498.453125000,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,both,455.856597900,sampled
IDL-000050,IDL,cs01,os03,communication,observation,439,534,2025-01-01T03:39:30.000000Z,2025-01-01T04:27:00.000000Z,2850.000000000,95,40501.566406250,39043.496093750,43452.964843750,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,both,467.970916748,sampled
IDL-000051,IDL,cs01,os03,communication,observation,635,730,2025-01-01T05:17:30.000000Z,2025-01-01T06:05:00.000000Z,2850.000000000,95,42418.625000000,41416.750000000,43751.285156250,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,both,384.752532959,sampled
IDL-000052,IDL,cs01,os03,communication,observation,801,805,2025-01-01T06:40:30.000000Z,2025-01-01T06:42:30.000000Z,120.000000000,4,41057.843750000,41041.511718750,41076.539062500,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,cs01,696.698791504,sampled
